FileName;Group;CellLine;Response;ShortName
GSM4248426;RH41.PS;RH41;PS;RH41.PS.1
GSM4248427;RH41.PS;RH41;PS;RH41.PS.2
GSM4248428;RH41.PS;RH41;PS;RH41.PS.3
GSM4248429;RH41.PR;RH41;PR;RH41.PR.1
GSM4248430;RH41.PR;RH41;PR;RH41.PR.2
GSM4248431;RH41.PR;RH41;PR;RH41.PR.3
GSM4248432;RH41.PR;RH41;PR;RH41.PR.4
GSM4248433;RH41.PR;RH41;PR;RH41.PR.5
GSM4248434;NCIH520.PS;NCIH520;PS;NCIH520.PS.1
GSM4248435;NCIH520.PS;NCIH520;PS;NCIH520.PS.2
GSM4248436;NCIH520.PS;NCIH520;PS;NCIH520.PS.3
GSM4248437;NCIH520.PR;NCIH520;PR;NCIH520.PR.1
GSM4248438;NCIH520.PR;NCIH520;PR;NCIH520.PR.2
GSM4248439;NCIH520.PR;NCIH520;PR;NCIH520.PR.3
GSM4248440;SJCRH30.PS;SJCRH30;PS;SJCRH30.PS.1
GSM4248441;SJCRH30.PS;SJCRH30;PS;SJCRH30.PS.2
GSM4248442;SJCRH30.PS;SJCRH30;PS;SJCRH30.PS.3
GSM4248443;SJCRH30.PR;SJCRH30;PR;SJCRH30.PR.1
GSM4248444;SJCRH30.PR;SJCRH30;PR;SJCRH30.PR.2
GSM4248445;SJCRH30.PR;SJCRH30;PR;SJCRH30.PR.3
